network, alt, lat, lon, threshold, station
grid_LMA, 808.80, -23.4877967, -46.8316478, -85,  A
grid_LMA, 783.80, -23.7022186, -46.8251392, -90,  B
grid_LMA, 825.30, -23.6507108, -46.6218817, -75,  C
grid_LMA, 828.30, -23.7257086, -46.5795603, -75,  D
grid_LMA, 805.60, -23.5615964, -46.7350819, -75,  E
grid_LMA, 750.30, -23.5241736, -46.6218442, -70,  F
grid_LMA, 823.40, -23.7078239, -46.4100264, -85,  G
grid_LMA, 842.24, -23.5766592, -46.4592950, -80,  H
grid_LMA, 760.90, -23.4818842, -46.5005947, -70,  J
grid_LMA, 765.42, -23.5137581, -46.1556681, -90,  K
grid_LMA, 749.35, -23.5359581, -46.3274372, -80,  L
grid_LMA, 841.61, -23.3748692, -46.3502872, -90,  M
